,recipeA,recipeB,shared_ingred
9180,Apple and carrot sesame crumble,Anchovy and sage crisps,2
9181,Apple and carrot sesame crumble,Pork chops with celeriac mash and apple and ale gravy,3
9182,Apple and carrot sesame crumble,An extraordinary way with lettuce,3
9183,Apple and carrot sesame crumble,Andalucian shrimp and spring onion fritters,2
9184,Apple and carrot sesame crumble,"Andalucian pork with apricots, prunes and herbs, rolled in paprika",0
9185,Apple and carrot sesame crumble,Feijoada ,1
9186,Apple and carrot sesame crumble,Angela's slow roasted ginger pork,1
9187,Apple and carrot sesame crumble,Angel food cake with lemon curd,3
9188,Apple and carrot sesame crumble,Chicken in white wine sauce,4
9189,Apple and carrot sesame crumble,Annika's glögg (Annika’s mulled wine),2
9190,Apple and carrot sesame crumble,Anolini in brodo (meat filled pasta in chicken broth),3
9191,Apple and carrot sesame crumble,Easy cookies,3
9192,Apple and carrot sesame crumble,Anglesey eggs with bacon chops,3
9193,Apple and carrot sesame crumble,Antony's 'mainstay' mince,2
9194,Apple and carrot sesame crumble,Aperitivo di passata,1
9195,Apple and carrot sesame crumble,Apple and blueberry cobbler,2
9196,Apple and carrot sesame crumble,Delia's any kind of cheese sauce,3
9197,Apple and carrot sesame crumble,Apple and blackberry crumble,5
9198,Apple and carrot sesame crumble,Apple and blueberry pie,4
9199,Apple and carrot sesame crumble,Apple and carrot sesame crumble,8
9200,Apple and carrot sesame crumble,Apple and Cheshire cheese bake,3
9201,Apple and carrot sesame crumble,Apple and bacon chutney,2
9202,Apple and carrot sesame crumble,Apple and cinnamon kugelhopf with honeyed apples,5
9203,Apple and carrot sesame crumble,Loaf cake with apple and cinnamon,3
9204,Apple and carrot sesame crumble,Apple and filo tart with scallops and bacon salad,3
9205,Apple and carrot sesame crumble,Apple and lemon kites ,3
9206,Apple and carrot sesame crumble,Apple and passion fruit tartlets,4
9207,Apple and Cheshire cheese bake,15 minute pasta,0
9208,Apple and Cheshire cheese bake,3D biscuits ,2
9209,Apple and Cheshire cheese bake,2-hour Christmas dinner,1
9210,Apple and Cheshire cheese bake,Mustard and thyme crusted rib-eye of beef ,0
9211,Apple and Cheshire cheese bake,Aberdeen butteries (Rowies),2
9212,Apple and Cheshire cheese bake,Abundant steamed sea bass and seasonal clams with sizzling oil,0
9213,Apple and Cheshire cheese bake,A classic sponge cake (with passion fruit filling),2
9214,Apple and Cheshire cheese bake,Lemon curd ice cream,0
9215,Apple and Cheshire cheese bake,"A creamy, crunchy fruit sundae",0
9216,Apple and Cheshire cheese bake,"Acacia honey-glazed chicken breast with tomato, artichoke and watercress",0
9217,Apple and Cheshire cheese bake,Ackee and saltfish,1
9218,Apple and Cheshire cheese bake,Aged sirloin steak with Thai salad and toasted hazelnuts,0
9219,Apple and Cheshire cheese bake,Aglio e peperoncino,0
9220,Apple and Cheshire cheese bake,Agnello alla menta con insalata calda (Italian lamb casserole with warm salad),0
9221,Apple and Cheshire cheese bake,Aïoli,1
9222,Apple and Cheshire cheese bake,Adhraki gosht (lamb masala in a tomato and ginger sauce),0
9223,Apple and Cheshire cheese bake,Ajwain parathas ,0
9224,Apple and Cheshire cheese bake,Albanian baked lamb with rice (Tavë kosi),2
9225,Apple and Cheshire cheese bake,Saturday Kitchen Sling ,0
9226,Apple and Cheshire cheese bake,Aji de gallina,0
9227,Apple and Cheshire cheese bake,Ajitsuke tamago (Japanese pickled eggs),1
9228,Apple and Cheshire cheese bake,Albondigas (spicy Mexican meatballs with red rice),2
9229,Apple and Cheshire cheese bake,All-in-one rib roast with horseradish glaze,0
9230,Apple and Cheshire cheese bake,"Prawns al cremat with a Little Gem, dandelion and watercress salad served with aioli",0
9231,Apple and Cheshire cheese bake,All-day breakfast frittata,1
9232,Apple and Cheshire cheese bake,All-purpose easy butter cake,3
9233,Apple and Cheshire cheese bake,Ale fruit loaf,2
9234,Apple and Cheshire cheese bake,All-in-one white sauce,1
9235,Apple and Cheshire cheese bake,Almond and cauliflower korma curry,0
9236,Apple and Cheshire cheese bake,"Almond, cranberry and orange biscotti",1
9237,Apple and Cheshire cheese bake,Almond-crusted salmon with chilli spinach,0
9238,Apple and Cheshire cheese bake,Almond and lemon polenta cake with orange mascarpone,2
9239,Apple and Cheshire cheese bake,Almond lentil stew,0
9240,Apple and Cheshire cheese bake,Almond dipping sauce with pitta bread fingers,1
9241,Apple and Cheshire cheese bake,Almond pancakes with ice cream and toffee sauce,3
9242,Apple and Cheshire cheese bake,Almond puddings with Christmas pudding ice cream,2
9243,Apple and Cheshire cheese bake,Almond-rolled goats' cheese,1
9244,Apple and Cheshire cheese bake,Almond rice pudding and cherry compôte,1
9245,Apple and Cheshire cheese bake,Almond praline,0
9246,Apple and Cheshire cheese bake,Almondy mince pies,2
9247,Apple and Cheshire cheese bake,Almond tart,2
9248,Apple and Cheshire cheese bake,Almond semifreddo,1
9249,Apple and Cheshire cheese bake,Alpine pizza,1
9250,Apple and Cheshire cheese bake,Almond soup,1
9251,Apple and Cheshire cheese bake,Alternative fish and chips,1
9252,Apple and Cheshire cheese bake,Aloo panchporan (Stir-fried potatoes tempered with five spices),0
9253,Apple and Cheshire cheese bake,Amaretti and berry sundae,0
9254,Apple and Cheshire cheese bake,Amaretti biscuits,1
9255,Apple and Cheshire cheese bake,"Salt crust chicken with peas, broad beans and mousseron mushrooms",2
9256,Apple and Cheshire cheese bake,Amaretti tiramisu,0
9257,Apple and Cheshire cheese bake,Amaretti biscuits,1
9258,Apple and Cheshire cheese bake,Amaretti-stuffed pears with red wine and vanilla sauce,1
9259,Apple and Cheshire cheese bake,Amaretti biscuits,2
9260,Apple and Cheshire cheese bake,A medley of shellfish with baby vegetables,1
9261,Apple and Cheshire cheese bake,Amaretto vanilla custard,1
9262,Apple and Cheshire cheese bake,Amazing apple tarts,3
9263,Apple and Cheshire cheese bake,American baked cheesecake,3
9264,Apple and Cheshire cheese bake,American-style pancakes with bacon and maple syrup,2
9265,Apple and Cheshire cheese bake,Gluten-free American buttermilk pancakes,2
9266,Apple and Cheshire cheese bake,American pancakes with flambéed cherries and warm chocolate sauce,1
9267,Apple and Cheshire cheese bake,Chocolate ripple cheesecake,3
9268,Apple and Cheshire cheese bake,Breakfast muffins,3
9269,Apple and Cheshire cheese bake,American fried chicken with spicy chickpeas and honey glazed tomatoes,1
9270,Apple and Cheshire cheese bake,American-style chocolate brownies,2
9271,Apple and Cheshire cheese bake,American-style mango pancakes,2
9272,Apple and Cheshire cheese bake,American style pancakes with sausage,2
9273,Apple and Cheshire cheese bake,American-style pancakes with blueberries,1
9274,Apple and Cheshire cheese bake,American-style pancakes with blueberries,2
9275,Apple and Cheshire cheese bake,Anatra con melagrana (duck with pomegranate) and sautéed escarole,1
9276,Apple and Cheshire cheese bake,An authentic ragù bolognese,0
9277,Apple and Cheshire cheese bake,Anchoïade dip,0
9278,Apple and Cheshire cheese bake,Anchoïade with crudites,1
9279,Apple and Cheshire cheese bake,Anchovy and sage crisps,1
9280,Apple and Cheshire cheese bake,Pork chops with celeriac mash and apple and ale gravy,2
9281,Apple and Cheshire cheese bake,An extraordinary way with lettuce,1
9282,Apple and Cheshire cheese bake,Andalucian shrimp and spring onion fritters,1
9283,Apple and Cheshire cheese bake,"Andalucian pork with apricots, prunes and herbs, rolled in paprika",0
9284,Apple and Cheshire cheese bake,Feijoada ,0
9285,Apple and Cheshire cheese bake,Angela's slow roasted ginger pork,0
9286,Apple and Cheshire cheese bake,Angel food cake with lemon curd,2
9287,Apple and Cheshire cheese bake,Chicken in white wine sauce,2
9288,Apple and Cheshire cheese bake,Annika's glögg (Annika’s mulled wine),0
9289,Apple and Cheshire cheese bake,Anolini in brodo (meat filled pasta in chicken broth),1
9290,Apple and Cheshire cheese bake,Easy cookies,2
9291,Apple and Cheshire cheese bake,Anglesey eggs with bacon chops,3
9292,Apple and Cheshire cheese bake,Antony's 'mainstay' mince,0
9293,Apple and Cheshire cheese bake,Aperitivo di passata,0
9294,Apple and Cheshire cheese bake,Apple and blueberry cobbler,3
9295,Apple and Cheshire cheese bake,Delia's any kind of cheese sauce,1
9296,Apple and Cheshire cheese bake,Apple and blackberry crumble,3
9297,Apple and Cheshire cheese bake,Apple and blueberry pie,3
9298,Apple and Cheshire cheese bake,Apple and carrot sesame crumble,3
9299,Apple and Cheshire cheese bake,Apple and Cheshire cheese bake,5
9300,Apple and Cheshire cheese bake,Apple and bacon chutney,1
9301,Apple and Cheshire cheese bake,Apple and cinnamon kugelhopf with honeyed apples,3
9302,Apple and Cheshire cheese bake,Loaf cake with apple and cinnamon,3
9303,Apple and Cheshire cheese bake,Apple and filo tart with scallops and bacon salad,2
9304,Apple and Cheshire cheese bake,Apple and lemon kites ,3
9305,Apple and Cheshire cheese bake,Apple and passion fruit tartlets,3
9306,Apple and bacon chutney,15 minute pasta,1
9307,Apple and bacon chutney,3D biscuits ,1
9308,Apple and bacon chutney,2-hour Christmas dinner,2
9309,Apple and bacon chutney,Mustard and thyme crusted rib-eye of beef ,1
9310,Apple and bacon chutney,Aberdeen butteries (Rowies),1
9311,Apple and bacon chutney,Abundant steamed sea bass and seasonal clams with sizzling oil,1
9312,Apple and bacon chutney,A classic sponge cake (with passion fruit filling),1
9313,Apple and bacon chutney,Lemon curd ice cream,1
9314,Apple and bacon chutney,"A creamy, crunchy fruit sundae",1
9315,Apple and bacon chutney,"Acacia honey-glazed chicken breast with tomato, artichoke and watercress",1
9316,Apple and bacon chutney,Ackee and saltfish,1
9317,Apple and bacon chutney,Aged sirloin steak with Thai salad and toasted hazelnuts,2
9318,Apple and bacon chutney,Aglio e peperoncino,0
9319,Apple and bacon chutney,Agnello alla menta con insalata calda (Italian lamb casserole with warm salad),2
9320,Apple and bacon chutney,Aïoli,0
9321,Apple and bacon chutney,Adhraki gosht (lamb masala in a tomato and ginger sauce),1
9322,Apple and bacon chutney,Ajwain parathas ,1
9323,Apple and bacon chutney,Albanian baked lamb with rice (Tavë kosi),1
9324,Apple and bacon chutney,Saturday Kitchen Sling ,1
9325,Apple and bacon chutney,Aji de gallina,1
9326,Apple and bacon chutney,Ajitsuke tamago (Japanese pickled eggs),1
9327,Apple and bacon chutney,Albondigas (spicy Mexican meatballs with red rice),1
9328,Apple and bacon chutney,All-in-one rib roast with horseradish glaze,0
9329,Apple and bacon chutney,"Prawns al cremat with a Little Gem, dandelion and watercress salad served with aioli",2
9330,Apple and bacon chutney,All-day breakfast frittata,2
9331,Apple and bacon chutney,All-purpose easy butter cake,1
9332,Apple and bacon chutney,Ale fruit loaf,1
9333,Apple and bacon chutney,All-in-one white sauce,0
9334,Apple and bacon chutney,Almond and cauliflower korma curry,1
9335,Apple and bacon chutney,"Almond, cranberry and orange biscotti",1
9336,Apple and bacon chutney,Almond-crusted salmon with chilli spinach,1
9337,Apple and bacon chutney,Almond and lemon polenta cake with orange mascarpone,1
9338,Apple and bacon chutney,Almond lentil stew,1
9339,Apple and bacon chutney,Almond dipping sauce with pitta bread fingers,1
9340,Apple and bacon chutney,Almond pancakes with ice cream and toffee sauce,2
9341,Apple and bacon chutney,Almond puddings with Christmas pudding ice cream,2
9342,Apple and bacon chutney,Almond-rolled goats' cheese,1
9343,Apple and bacon chutney,Almond rice pudding and cherry compôte,1
9344,Apple and bacon chutney,Almond praline,0
9345,Apple and bacon chutney,Almondy mince pies,1
9346,Apple and bacon chutney,Almond tart,0
9347,Apple and bacon chutney,Almond semifreddo,1
9348,Apple and bacon chutney,Alpine pizza,1
9349,Apple and bacon chutney,Almond soup,1
9350,Apple and bacon chutney,Alternative fish and chips,2
9351,Apple and bacon chutney,Aloo panchporan (Stir-fried potatoes tempered with five spices),1
9352,Apple and bacon chutney,Amaretti and berry sundae,1
9353,Apple and bacon chutney,Amaretti biscuits,0
9354,Apple and bacon chutney,"Salt crust chicken with peas, broad beans and mousseron mushrooms",1
9355,Apple and bacon chutney,Amaretti tiramisu,2
9356,Apple and bacon chutney,Amaretti biscuits,0
9357,Apple and bacon chutney,Amaretti-stuffed pears with red wine and vanilla sauce,1
9358,Apple and bacon chutney,Amaretti biscuits,1
9359,Apple and bacon chutney,A medley of shellfish with baby vegetables,1
9360,Apple and bacon chutney,Amaretto vanilla custard,1
9361,Apple and bacon chutney,Amazing apple tarts,2
9362,Apple and bacon chutney,American baked cheesecake,1
9363,Apple and bacon chutney,American-style pancakes with bacon and maple syrup,2
9364,Apple and bacon chutney,Gluten-free American buttermilk pancakes,2
9365,Apple and bacon chutney,American pancakes with flambéed cherries and warm chocolate sauce,1
9366,Apple and bacon chutney,Chocolate ripple cheesecake,1
9367,Apple and bacon chutney,Breakfast muffins,1
9368,Apple and bacon chutney,American fried chicken with spicy chickpeas and honey glazed tomatoes,0
9369,Apple and bacon chutney,American-style chocolate brownies,1
9370,Apple and bacon chutney,American-style mango pancakes,1
9371,Apple and bacon chutney,American style pancakes with sausage,1
9372,Apple and bacon chutney,American-style pancakes with blueberries,1
9373,Apple and bacon chutney,American-style pancakes with blueberries,1
9374,Apple and bacon chutney,Anatra con melagrana (duck with pomegranate) and sautéed escarole,1
9375,Apple and bacon chutney,An authentic ragù bolognese,2
9376,Apple and bacon chutney,Anchoïade dip,1
9377,Apple and bacon chutney,Anchoïade with crudites,1
9378,Apple and bacon chutney,Anchovy and sage crisps,1
9379,Apple and bacon chutney,Pork chops with celeriac mash and apple and ale gravy,3
9380,Apple and bacon chutney,An extraordinary way with lettuce,1
9381,Apple and bacon chutney,Andalucian shrimp and spring onion fritters,1
9382,Apple and bacon chutney,"Andalucian pork with apricots, prunes and herbs, rolled in paprika",0
9383,Apple and bacon chutney,Feijoada ,2
9384,Apple and bacon chutney,Angela's slow roasted ginger pork,1
9385,Apple and bacon chutney,Angel food cake with lemon curd,1
9386,Apple and bacon chutney,Chicken in white wine sauce,1
9387,Apple and bacon chutney,Annika's glögg (Annika’s mulled wine),1
9388,Apple and bacon chutney,Anolini in brodo (meat filled pasta in chicken broth),1
9389,Apple and bacon chutney,Easy cookies,1
9390,Apple and bacon chutney,Anglesey eggs with bacon chops,2
9391,Apple and bacon chutney,Antony's 'mainstay' mince,2
9392,Apple and bacon chutney,Aperitivo di passata,1
9393,Apple and bacon chutney,Apple and blueberry cobbler,1
9394,Apple and bacon chutney,Delia's any kind of cheese sauce,1
9395,Apple and bacon chutney,Apple and blackberry crumble,2
9396,Apple and bacon chutney,Apple and blueberry pie,2
9397,Apple and bacon chutney,Apple and carrot sesame crumble,2
9398,Apple and bacon chutney,Apple and Cheshire cheese bake,1
9399,Apple and bacon chutney,Apple and bacon chutney,4
9400,Apple and bacon chutney,Apple and cinnamon kugelhopf with honeyed apples,2
9401,Apple and bacon chutney,Loaf cake with apple and cinnamon,1
9402,Apple and bacon chutney,Apple and filo tart with scallops and bacon salad,3
9403,Apple and bacon chutney,Apple and lemon kites ,1
9404,Apple and bacon chutney,Apple and passion fruit tartlets,2
9405,Apple and cinnamon kugelhopf with honeyed apples,15 minute pasta,1
9406,Apple and cinnamon kugelhopf with honeyed apples,3D biscuits ,5
9407,Apple and cinnamon kugelhopf with honeyed apples,2-hour Christmas dinner,6
9408,Apple and cinnamon kugelhopf with honeyed apples,Mustard and thyme crusted rib-eye of beef ,2
9409,Apple and cinnamon kugelhopf with honeyed apples,Aberdeen butteries (Rowies),5
9410,Apple and cinnamon kugelhopf with honeyed apples,Abundant steamed sea bass and seasonal clams with sizzling oil,2
9411,Apple and cinnamon kugelhopf with honeyed apples,A classic sponge cake (with passion fruit filling),4
9412,Apple and cinnamon kugelhopf with honeyed apples,Lemon curd ice cream,2
9413,Apple and cinnamon kugelhopf with honeyed apples,"A creamy, crunchy fruit sundae",2
9414,Apple and cinnamon kugelhopf with honeyed apples,"Acacia honey-glazed chicken breast with tomato, artichoke and watercress",4
9415,Apple and cinnamon kugelhopf with honeyed apples,Ackee and saltfish,2
9416,Apple and cinnamon kugelhopf with honeyed apples,Aged sirloin steak with Thai salad and toasted hazelnuts,1
9417,Apple and cinnamon kugelhopf with honeyed apples,Aglio e peperoncino,0
9418,Apple and cinnamon kugelhopf with honeyed apples,Agnello alla menta con insalata calda (Italian lamb casserole with warm salad),2
9419,Apple and cinnamon kugelhopf with honeyed apples,Aïoli,2
9420,Apple and cinnamon kugelhopf with honeyed apples,Adhraki gosht (lamb masala in a tomato and ginger sauce),2
9421,Apple and cinnamon kugelhopf with honeyed apples,Ajwain parathas ,3
9422,Apple and cinnamon kugelhopf with honeyed apples,Albanian baked lamb with rice (Tavë kosi),4
9423,Apple and cinnamon kugelhopf with honeyed apples,Saturday Kitchen Sling ,2
9424,Apple and cinnamon kugelhopf with honeyed apples,Aji de gallina,2
9425,Apple and cinnamon kugelhopf with honeyed apples,Ajitsuke tamago (Japanese pickled eggs),3
9426,Apple and cinnamon kugelhopf with honeyed apples,Albondigas (spicy Mexican meatballs with red rice),3
9427,Apple and cinnamon kugelhopf with honeyed apples,All-in-one rib roast with horseradish glaze,1
9428,Apple and cinnamon kugelhopf with honeyed apples,"Prawns al cremat with a Little Gem, dandelion and watercress salad served with aioli",2
9429,Apple and cinnamon kugelhopf with honeyed apples,All-day breakfast frittata,2
9430,Apple and cinnamon kugelhopf with honeyed apples,All-purpose easy butter cake,5
9431,Apple and cinnamon kugelhopf with honeyed apples,Ale fruit loaf,2
9432,Apple and cinnamon kugelhopf with honeyed apples,All-in-one white sauce,3
9433,Apple and cinnamon kugelhopf with honeyed apples,Almond and cauliflower korma curry,2
9434,Apple and cinnamon kugelhopf with honeyed apples,"Almond, cranberry and orange biscotti",6
9435,Apple and cinnamon kugelhopf with honeyed apples,Almond-crusted salmon with chilli spinach,2
9436,Apple and cinnamon kugelhopf with honeyed apples,Almond and lemon polenta cake with orange mascarpone,6
9437,Apple and cinnamon kugelhopf with honeyed apples,Almond lentil stew,3
9438,Apple and cinnamon kugelhopf with honeyed apples,Almond dipping sauce with pitta bread fingers,3
9439,Apple and cinnamon kugelhopf with honeyed apples,Almond pancakes with ice cream and toffee sauce,6
9440,Apple and cinnamon kugelhopf with honeyed apples,Almond puddings with Christmas pudding ice cream,7
9441,Apple and cinnamon kugelhopf with honeyed apples,Almond-rolled goats' cheese,3
9442,Apple and cinnamon kugelhopf with honeyed apples,Almond rice pudding and cherry compôte,6
9443,Apple and cinnamon kugelhopf with honeyed apples,Almond praline,3
9444,Apple and cinnamon kugelhopf with honeyed apples,Almondy mince pies,7
9445,Apple and cinnamon kugelhopf with honeyed apples,Almond tart,6
9446,Apple and cinnamon kugelhopf with honeyed apples,Almond semifreddo,4
9447,Apple and cinnamon kugelhopf with honeyed apples,Alpine pizza,4
9448,Apple and cinnamon kugelhopf with honeyed apples,Almond soup,3
9449,Apple and cinnamon kugelhopf with honeyed apples,Alternative fish and chips,5
9450,Apple and cinnamon kugelhopf with honeyed apples,Aloo panchporan (Stir-fried potatoes tempered with five spices),2
9451,Apple and cinnamon kugelhopf with honeyed apples,Amaretti and berry sundae,2
9452,Apple and cinnamon kugelhopf with honeyed apples,Amaretti biscuits,4
9453,Apple and cinnamon kugelhopf with honeyed apples,"Salt crust chicken with peas, broad beans and mousseron mushrooms",6
9454,Apple and cinnamon kugelhopf with honeyed apples,Amaretti tiramisu,3
9455,Apple and cinnamon kugelhopf with honeyed apples,Amaretti biscuits,3
9456,Apple and cinnamon kugelhopf with honeyed apples,Amaretti-stuffed pears with red wine and vanilla sauce,3
9457,Apple and cinnamon kugelhopf with honeyed apples,Amaretti biscuits,5
9458,Apple and cinnamon kugelhopf with honeyed apples,A medley of shellfish with baby vegetables,2
9459,Apple and cinnamon kugelhopf with honeyed apples,Amaretto vanilla custard,4
9460,Apple and cinnamon kugelhopf with honeyed apples,Amazing apple tarts,8
9461,Apple and cinnamon kugelhopf with honeyed apples,American baked cheesecake,7
9462,Apple and cinnamon kugelhopf with honeyed apples,American-style pancakes with bacon and maple syrup,6
9463,Apple and cinnamon kugelhopf with honeyed apples,Gluten-free American buttermilk pancakes,5
9464,Apple and cinnamon kugelhopf with honeyed apples,American pancakes with flambéed cherries and warm chocolate sauce,4
9465,Apple and cinnamon kugelhopf with honeyed apples,Chocolate ripple cheesecake,4
9466,Apple and cinnamon kugelhopf with honeyed apples,Breakfast muffins,6
9467,Apple and cinnamon kugelhopf with honeyed apples,American fried chicken with spicy chickpeas and honey glazed tomatoes,3
9468,Apple and cinnamon kugelhopf with honeyed apples,American-style chocolate brownies,5
9469,Apple and cinnamon kugelhopf with honeyed apples,American-style mango pancakes,6
9470,Apple and cinnamon kugelhopf with honeyed apples,American style pancakes with sausage,4
9471,Apple and cinnamon kugelhopf with honeyed apples,American-style pancakes with blueberries,4
9472,Apple and cinnamon kugelhopf with honeyed apples,American-style pancakes with blueberries,5
9473,Apple and cinnamon kugelhopf with honeyed apples,Anatra con melagrana (duck with pomegranate) and sautéed escarole,3
9474,Apple and cinnamon kugelhopf with honeyed apples,An authentic ragù bolognese,1
9475,Apple and cinnamon kugelhopf with honeyed apples,Anchoïade dip,1
9476,Apple and cinnamon kugelhopf with honeyed apples,Anchoïade with crudites,2
9477,Apple and cinnamon kugelhopf with honeyed apples,Anchovy and sage crisps,3
9478,Apple and cinnamon kugelhopf with honeyed apples,Pork chops with celeriac mash and apple and ale gravy,3
9479,Apple and cinnamon kugelhopf with honeyed apples,An extraordinary way with lettuce,2
9480,Apple and cinnamon kugelhopf with honeyed apples,Andalucian shrimp and spring onion fritters,4
9481,Apple and cinnamon kugelhopf with honeyed apples,"Andalucian pork with apricots, prunes and herbs, rolled in paprika",2
9482,Apple and cinnamon kugelhopf with honeyed apples,Feijoada ,1
9483,Apple and cinnamon kugelhopf with honeyed apples,Angela's slow roasted ginger pork,1
9484,Apple and cinnamon kugelhopf with honeyed apples,Angel food cake with lemon curd,7
9485,Apple and cinnamon kugelhopf with honeyed apples,Chicken in white wine sauce,5
9486,Apple and cinnamon kugelhopf with honeyed apples,Annika's glögg (Annika’s mulled wine),4
9487,Apple and cinnamon kugelhopf with honeyed apples,Anolini in brodo (meat filled pasta in chicken broth),4
9488,Apple and cinnamon kugelhopf with honeyed apples,Easy cookies,6
9489,Apple and cinnamon kugelhopf with honeyed apples,Anglesey eggs with bacon chops,5
9490,Apple and cinnamon kugelhopf with honeyed apples,Antony's 'mainstay' mince,1
9491,Apple and cinnamon kugelhopf with honeyed apples,Aperitivo di passata,3
9492,Apple and cinnamon kugelhopf with honeyed apples,Apple and blueberry cobbler,5
9493,Apple and cinnamon kugelhopf with honeyed apples,Delia's any kind of cheese sauce,4
9494,Apple and cinnamon kugelhopf with honeyed apples,Apple and blackberry crumble,5
9495,Apple and cinnamon kugelhopf with honeyed apples,Apple and blueberry pie,7
9496,Apple and cinnamon kugelhopf with honeyed apples,Apple and carrot sesame crumble,5
9497,Apple and cinnamon kugelhopf with honeyed apples,Apple and Cheshire cheese bake,3
9498,Apple and cinnamon kugelhopf with honeyed apples,Apple and bacon chutney,2
9499,Apple and cinnamon kugelhopf with honeyed apples,Apple and cinnamon kugelhopf with honeyed apples,14
9500,Apple and cinnamon kugelhopf with honeyed apples,Loaf cake with apple and cinnamon,5
9501,Apple and cinnamon kugelhopf with honeyed apples,Apple and filo tart with scallops and bacon salad,3
9502,Apple and cinnamon kugelhopf with honeyed apples,Apple and lemon kites ,10
9503,Apple and cinnamon kugelhopf with honeyed apples,Apple and passion fruit tartlets,8
9504,Loaf cake with apple and cinnamon,15 minute pasta,0
9505,Loaf cake with apple and cinnamon,3D biscuits ,3
9506,Loaf cake with apple and cinnamon,2-hour Christmas dinner,2
9507,Loaf cake with apple and cinnamon,Mustard and thyme crusted rib-eye of beef ,1
9508,Loaf cake with apple and cinnamon,Aberdeen butteries (Rowies),1
9509,Loaf cake with apple and cinnamon,Abundant steamed sea bass and seasonal clams with sizzling oil,1
9510,Loaf cake with apple and cinnamon,A classic sponge cake (with passion fruit filling),4
9511,Loaf cake with apple and cinnamon,Lemon curd ice cream,0
9512,Loaf cake with apple and cinnamon,"A creamy, crunchy fruit sundae",1
9513,Loaf cake with apple and cinnamon,"Acacia honey-glazed chicken breast with tomato, artichoke and watercress",0
9514,Loaf cake with apple and cinnamon,Ackee and saltfish,1
9515,Loaf cake with apple and cinnamon,Aged sirloin steak with Thai salad and toasted hazelnuts,0
9516,Loaf cake with apple and cinnamon,Aglio e peperoncino,0
9517,Loaf cake with apple and cinnamon,Agnello alla menta con insalata calda (Italian lamb casserole with warm salad),0
9518,Loaf cake with apple and cinnamon,Aïoli,1
9519,Loaf cake with apple and cinnamon,Adhraki gosht (lamb masala in a tomato and ginger sauce),0
9520,Loaf cake with apple and cinnamon,Ajwain parathas ,0
9521,Loaf cake with apple and cinnamon,Albanian baked lamb with rice (Tavë kosi),2
9522,Loaf cake with apple and cinnamon,Saturday Kitchen Sling ,0
9523,Loaf cake with apple and cinnamon,Aji de gallina,0
9524,Loaf cake with apple and cinnamon,Ajitsuke tamago (Japanese pickled eggs),2
9525,Loaf cake with apple and cinnamon,Albondigas (spicy Mexican meatballs with red rice),1
9526,Loaf cake with apple and cinnamon,All-in-one rib roast with horseradish glaze,0
9527,Loaf cake with apple and cinnamon,"Prawns al cremat with a Little Gem, dandelion and watercress salad served with aioli",0
9528,Loaf cake with apple and cinnamon,All-day breakfast frittata,1
9529,Loaf cake with apple and cinnamon,All-purpose easy butter cake,2
9530,Loaf cake with apple and cinnamon,Ale fruit loaf,2
9531,Loaf cake with apple and cinnamon,All-in-one white sauce,1
9532,Loaf cake with apple and cinnamon,Almond and cauliflower korma curry,0
9533,Loaf cake with apple and cinnamon,"Almond, cranberry and orange biscotti",2
9534,Loaf cake with apple and cinnamon,Almond-crusted salmon with chilli spinach,0
9535,Loaf cake with apple and cinnamon,Almond and lemon polenta cake with orange mascarpone,3
9536,Loaf cake with apple and cinnamon,Almond lentil stew,1
9537,Loaf cake with apple and cinnamon,Almond dipping sauce with pitta bread fingers,1
9538,Loaf cake with apple and cinnamon,Almond pancakes with ice cream and toffee sauce,4
9539,Loaf cake with apple and cinnamon,Almond puddings with Christmas pudding ice cream,4
9540,Loaf cake with apple and cinnamon,Almond-rolled goats' cheese,0
9541,Loaf cake with apple and cinnamon,Almond rice pudding and cherry compôte,2
9542,Loaf cake with apple and cinnamon,Almond praline,1
9543,Loaf cake with apple and cinnamon,Almondy mince pies,4
9544,Loaf cake with apple and cinnamon,Almond tart,3
9545,Loaf cake with apple and cinnamon,Almond semifreddo,2
9546,Loaf cake with apple and cinnamon,Alpine pizza,0
9547,Loaf cake with apple and cinnamon,Almond soup,1
9548,Loaf cake with apple and cinnamon,Alternative fish and chips,1
9549,Loaf cake with apple and cinnamon,Aloo panchporan (Stir-fried potatoes tempered with five spices),0
9550,Loaf cake with apple and cinnamon,Amaretti and berry sundae,1
9551,Loaf cake with apple and cinnamon,Amaretti biscuits,2
9552,Loaf cake with apple and cinnamon,"Salt crust chicken with peas, broad beans and mousseron mushrooms",2
9553,Loaf cake with apple and cinnamon,Amaretti tiramisu,1
9554,Loaf cake with apple and cinnamon,Amaretti biscuits,2
9555,Loaf cake with apple and cinnamon,Amaretti-stuffed pears with red wine and vanilla sauce,2
9556,Loaf cake with apple and cinnamon,Amaretti biscuits,3
9557,Loaf cake with apple and cinnamon,A medley of shellfish with baby vegetables,1
9558,Loaf cake with apple and cinnamon,Amaretto vanilla custard,2
9559,Loaf cake with apple and cinnamon,Amazing apple tarts,5
9560,Loaf cake with apple and cinnamon,American baked cheesecake,3
9561,Loaf cake with apple and cinnamon,American-style pancakes with bacon and maple syrup,3
9562,Loaf cake with apple and cinnamon,Gluten-free American buttermilk pancakes,2
9563,Loaf cake with apple and cinnamon,American pancakes with flambéed cherries and warm chocolate sauce,2
9564,Loaf cake with apple and cinnamon,Chocolate ripple cheesecake,3
