,Recipe,Prep Time,Photo URL,ingredient_0,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9,ingredient_10,ingredient_11,ingredient_12,ingredient_13,method_0,method_1,method_2,method_3,method_4,method_5,method_6,method_7,method_8
299,Avocado and smoked salmon mousse,150,,avocado,oz double cream,lime,tsp lemon juice,oz chicken stock,gelatine leaf,ground black pepper,smoke salmon,oz double cream,ready-made horseradish sauce,tsp lemon juice,oz chicken stock,gelatine leaf,tsp english mustard,thicken,chill,juice,mix,blend,simmer,oil,salt,drain
300,Avocado and goats' cheese crostini,30,,cut round ),clove garlic,virgin olive oil,ripe avocado,goat ' cheese,tbsp lemon juice,tbsp chopped basil,dice red onion,ground black pepper,,,,,,brush,juice,bread,mash,oil,bake,slice,fold,serve
301,"Avocado 'cannelloni' with crab, scallops and sea herbs",30,,cherry tomato,sprig fresh thyme,salt pepper,ripe unbruised avocado,½ lime,cooked cock crab,chopped fresh coriander,tbsp mayonnaise,salt white pepper,pink grapefruit,tbsp sugar syrup,tsp xanthan gum,smoke paprika,tbsp cream,thicken,mix,fry,gel,heat,top,scallop,roll,shell
302,Avocado dip and olive tapenade with griddled garlic pittas,40,,avocado,â˝ lemon,tomato,chilli flake,ground black pepper,tbsp caper,black olive,garlic clove,tbsp olive oil,lemon,fresh flatleaf parsley,garlic clove,tbsp olive oil,ground black pepper,mix,juice,brush,blend,dip,oil,salt,serve,season
303,Avocado hummus,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/avocadohummus_92444_16x9.jpg,ripe avocado,x chickpea,garlic clove,lemon,â˝ tsp tabasco,tsp ground cumin,sea salt,ready-made pitta bread,,,,,,,chill,bread,blend,serve,,,,,
304,"Avocado, tomato, feta and brown rice grain bowl",30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/avocado_tomato_feta_and_25906_16x9.jpg,brown rice,spring onion,tomato,½ avocado,feta,sprig coriander,virgin olive oil,ground black pepper,,,,,,,drizzle,oil,salt,drain,season,,,,
305,"A warm salad of asparagus, field mushrooms and fresh peas",30,,medium asparagus spear,shell young pea,virgin olive oil,clove garlic,small field mushroom,ground black pepper,ciabatta loaf,shallot,tbsp dry vermouth,unsalted butter,chopped flat-leaf parsley,tbsp snip chive,tsp chopped tarragon,squeeze lemon juice,bread,heat,top,toast,boil,slice,combine,grill,season
306,Avocado salsa,30,,âź red onion,â˝ avocado,tbsp caster sugar,squeeze lime juice,chilli flake,ground black pepper,,,,,,,,,mix,juice,serve,season,stir,,,,
307,Ayam golek (spiced chicken with coconut cream and rojak salad),60,,fresh root ginger,( galangal available,tsp salt,dry chilli,shallot,garlic clove,lemongrass stalk,poussin baby chicken,oz coconut cream,tsp sugar,lime,tbsp shrimp paste,fresh red chilli,fresh root ginger,mix,blend,bake,heat,boil,roll,simmer,combine,roast
308,Baba ganoush,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/baba_ganoush_44415_16x9.jpg,aubergine,garlic clove,lemon,tbsp tahini,tbsp olive oil,black pepper,flat leaf parsley,,,,,,,,mix,juice,drizzle,oil,serve,top,char,grill,turn
309,Avocado with poached egg and hollandaise,40,,oz boil water,white wine vinegar,egg,white wine vinegar,peppercorn,½ shallot,bay leaf,egg yolk,oz melt butter,ground black pepper,½ ripe avocado,,,,pour,boil,melt,simmer,salt,serve,sieve,reduce,heat
310,Avocado with tomato salsa,30,,tbsp olive oil,white vine vinegar,tsp honey,finely chopped shallot,cherry tomato,shred fresh basil,ground black pepper,â˝ ripe avocado,,,,,,,mix,oil,salt,serve,toss,season,,,
311,"Baba ganoush, grilled aubergine with lentils and aubergine fritters",30,,aubergine,garlic clove,lemon,tbsp tahini,tbsp olive oil,chopped fresh parsley,chopped fresh mint,aubergine,tbsp olive oil,garlic clove,cooked puy lentil,chopped fresh coriander,chopped fresh parsley,tbsp olive oil,mix,blacken,blend,bread,dip,can,heat,top,skin
312,Aztec molcajete,60,,large garlic clove,food market ),½ spanish onion,bunch coriander,tomato,oz mexican beer,peel tomato,ground black pepper,organic chicken breast,tbsp olive oil,ground black pepper,sirloin steak,cooking chorizo,bunch spring onion,mix,fry,can,heat,cool,top,toast,boil,simmer
313,Baba ganoush,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/babaganoush_78707_16x9.jpg,aubergine,tbsp olive oil,â˝ red onion,garlic clove,bunch fresh basil,splash olive oil,loaf ciabatta,extra olive oil,,,,,,,brush,bread,blend,oil,fry,serve,brown,grill,heat
314,Baby cos salad with preserved lemon dressing,30,,clove garlic,virgin olive oil,lemon,preserve lemon,ground black pepper,baby co lettuce,' egg,best quality anchovy,black olive,grate parmesan,,,,,mix,juice,oil,salt,grate,serve,top,preserve,cut
315,Baby artichoke tartlets,30,,baby artichoke oil,packet puff pastry,egg yolk,( pimenton ),,,,,,,,,,,brush,bake,serve,smoke,cut,press,,,
316,Baby potatoes with fennel,30,,baby salad potato,tbsp oil,( prefer ),¼ tsp salt,garam masala,tsp chilli powder,,,,,,,,,mix,fry,oil,drain,heat,cool,,,
317,"Baby bruschettas with poached pears, gorgonzola and port syrup",30,,small firm pear,tbsp clear honey,port,red wine,blue cheese ),slice baguette,virgin olive oil,,,,,,,,brush,bread,drizzle,core,oil,drain,slice,top,grill
318,Baby scallops with a breadcrumb crust,40,,baby scallop,breadcrumb,garlic clove,handful flatleaf parsley,zest lemon,ground black pepper,olive oil,,,,,,,,mix,drizzle,oil,salt,grill,season,top,sprinkle,scallop
319,Baby aubergines with oregano and red onions,60,,baby aubergine,tbsp olive oil,tsp dry oregano,small red onion,red wine vinegar,tsp pour salt,extra-virgin olive oil,clove garlic,tbsp cold water,( optional ),,,,,warm,oil,salt,sprinkle,grate,slice,dry,serve,roast
320,Baby squid stuffed with chorizo and feta,60,,uncooked chorizo sausage,oz white wine,feta feta-style cheese,baby squid,vegetable oil,fennel bulb,virgin olive oil,ground black pepper,,,,,,,mix,fry,heat,cool,top,skin,boil,simmer,turn
321,Bacon and apple salad,40,,slice bacon,apple,thick slice bread,chilli flake,handful mixed herb,tbsp olive oil,red wine vinegar,,,,,,,,mix,juice,bread,oil,serve,brown,chunk,stir,
322,Bacon and cheese-wrapped sausages,30,,sausage,tsp vegetable oil,mature cheddar,slice back bacon,,,,,,,,,,,warm,oil,fry,serve,brown,stuff,heat,cool,
323,Baby courgettes and chanterelle mushrooms with basil,40,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/babycourgettesandcha_91629_16x9.jpg,fresh chanterelle mushroom,baby courgette,tbsp olive oil,sea salt flake,garlic clove,ground black pepper,âź lemon,fresh basil leaf,,,,,,,mix,juice,drizzle,oil,fry,salt,serve,combine,season
324,Bacon and chilli cornbread,60,,tbsp corn oil,smoke streaky bacon,spring onion,corn kernel,dry chilli flake,polenta,plain flour,tbsp caster sugar,tsp baking powder,tsp baking soda,½ tsp salt,oz buttermilk,egg,tbsp maple syrup,melt,mix,brush,warm,oil,fry,salt,bake,serve
325,Bacon and egg canapés ,120,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/bacon_and_egg_canapes_11283_16x9.jpg,plain flour,cold butter,free-range egg,tbsp sunflower oil,rindless streaky bacon,free-range egg,tbsp mayonnaise,ground black pepper,quail ’ egg,fresh rocket leaf,,,,,dough,garnish,roll,blend,mash,oil,fry,salt,bake
326,Bacon and egg pie,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/bacon_and_egg_pie_06890_16x9.jpg,plain flour,fine salt,cold unsalted butter,medium free-range egg,tsp lemon juice,tbsp vegetable oil,large onion,garlic clove,unsmoked streaky bacon,pork loin,medium free-range egg,cream cheese,mature cheddar,tbsp chopped chive,mix,fry,bake,heat,cool,top,beat,roll,season
327,Bacon and lentils,150,,bacon joint,button onion,tbsp oil,puy lentil,carrot,stick celery,bay leaf,sprig thyme,clove garlic,knob butter,hard boil egg,tbsp chopped parsley,,,boil,garnish,oil,drain,dry,serve,slice,brown,heat
328,Baby squid and sweet potato salad,30,,tbsp vegetable oil,baby squid,ground black pepper,fine egg noodle,golden sweet potato,spring onion,tbsp pumpkin seed,nigella ) seed,sun-blushed tomato,red chilli,extract juice ),lime,tbsp sesame oil,tbsp sherry vinegar,drizzle,oil,fry,salt,serve,combine,toss,season,heat
329,Bacon and mushroom salad,30,,field mushroom,½ red onion,orange,slice bacon,stilton,fresh flatleaf parsley,tbsp olive oil,tbsp balsamic vinegar,clove garlic,slice bread,,,,,mix,bread,oil,serve,grill,heat,top,zest,
330,Bacon baked in a paper bag with carrots and creamed onions,150,,unsmoked streaky bacon,chicken stock,carrot,stalk celery,bunch fresh thyme,oz ale,butter,baby onion,oz double cream,freshly ground nutmeg,,,,,boil,melt,roll,fry,salt,dry,serve,slice,roast
331,Bacon and mature cheddar straws,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/bacon_and_mature_cheddar_58920_16x9.jpg,puff pastry,plain flour,tbsp english mustard,mature cheddar,ground black pepper,good-quality streaky bacon,free-range egg,,,,,,,,chill,brush,roll,process,bake,slice,cool,cut,season
332,Bacon butty and brown sauce,120,,strong bread flour,tsp dry yeast,tsp sugar,oz warm water,tsp salt,tbsp vegetable oil,shallot,fresh tomato,date,ready-made tamarind sauce,tsp ground ginger,clove,black peppercorn,ground turmeric,thicken,mix,bread,blend,fry,bake,can,heat,cool
333,Bacon butty with mustard mayo,40,,rasher streaky bacon,slice ciabatta,drizzle olive oil,greek-style yoghurt,tbsp double cream,tsp wholegrain mustard,squeeze lemon juice,ground black pepper,,,,,,,mix,juice,bread,drizzle,oil,salt,slice,serve,heat
334,Bacon buttered Brussels sprouts,30,,brussels sprout,rasher streaky bacon,butter,,,,,,,,,,,,boil,fry,salt,drain,serve,brown,,,
335,Bacon chops with whole roasted broccoli and three-cheese sauce,60,,whole broccoli,garlic clove,bunch fresh thyme,butter,freshly grate nutmeg,plain white flour,butter,oz milk,stink bishop cheese,gruyère cheese,strong cheese choice,ground black pepper,tbsp english mustard,tbsp crème fraîche,fry,heat,top,boil,melt,roast,cut,season,smoke
336,Bacon chop with apple and parsnip hash,30,,large potato,butter,shallot,parsnip,apple,olive oil,bacon chop,free-range egg,chopped sage leaf,ground black pepper,,,,,melt,rub,fry,oil,salt,serve,roast,brown,toss
337,"Bacon, egg and cheese muffins",30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/bacon_egg_and_cheese_08419_16x9.jpg,bacon rasher bacon,free-range egg,apple sauce ),tbsp coconut flour,mature cheddar,spring onion,small handful kale,tsp baking powder,¼ tsp salt,ground black pepper,,,,,beat,fry,bake,combine,top,batter,heat,cool,aerate
338,Bacon or crackling scones (pogácsa),150,,tbsp milk,tsp dry yeast,streaky bacon,plain flour,tsp baking powder,½ tsp salt,tbsp parmesan,tbsp caraway seed,oz unsalted butter,oz sour cream,egg,beaten egg water,,,mix,fry,bake,can,heat,cool,top,melt,roll
339,Bacon eggy bread,40,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/bacon_eggy_bread_22406_16x9.jpg,free-range egg,tbsp milk,crusty white bread,smoke pancetta bacon,ground black pepper,,,,,,,,,,beat,bread,microwave,salt,season,cool,top,,
340,Bacon sandwich,40,,tbsp olive oil,crusty white bread,slice prosciutto,tomato,ground black pepper,olive oil,,,,,,,,,bread,drizzle,oil,salt,slice,serve,grill,season,heat
341,"Bacon, mozzarella, and mushroom pizza",30,,plain flour,oz water,tbsp olive oil,salt,tin plum tomato,tbsp olive oil,garlic clove,parsley chopped,basil chopped,ground black pepper,fry bacon lardons,smoke mozzarella ripped,marinate mushroom,,dough,mix,melt,roll,oil,fry,salt,simmer,bake
342,"Bacon, sausage and black pudding pilaff",30,,streaky bacon,tbsp olive oil,large onion,cooked sausage,'s black pudding,basmati long rice,salt,,,,,,,,sweat,fry,salt,serve,brown,can,toss,turn,heat
343,Bacon rarebit with apple chutney,30,,light brown sugar,sultana,oz malt vinegar,eat apple,tomato,onion,dry-cured back bacon,mature cheddar cheese,oz beer,tsp english mustard,tabasco sauce,tsp worcestershire sauce,tbsp plain flour,ground black pepper,thicken,melt,bread,fry,salt,serve,brown,grill,season
344,Bacon strata,60,,free-range egg,oz full-fat milk,ricotta cheese,sourdough bread,ground black pepper,tbsp vegetable oil,onion,smoke bacon lardons,roast butternut squash,buffalo mozzarella,chopped fresh sage,freshly grate parmesan,,,layer,mix,beat,bread,oil,fry,salt,process,bake
345,Bacon waffles with poached eggs and hollandaise sauce,60,,plain flour,tsp baking powder,tsp salt,tbsp caster sugar,free-range egg,oz whole milk,unsalted butter,streaky bacon ),shallot,peppercorn,bay leaf,white wine vinegar,free-range egg yolk,butter,mix,process,fry,heat,cool,top,strain,boil,melt
346,Bacon sandwich,40,,tbsp olive oil,streaky bacon,unsalted butter,white farmhouse loaf,ground black pepper,tbsp tomato ketchup,,,,,,,,,bread,oil,fry,salt,slice,serve,season,heat,cut
347,Bacon-wrapped cheese stuffed chicken with fresh herbed pasta and sautéed broccoli,30,,boneless chicken thigh,cheddar cheese,rasher bacon,ground black pepper,tbsp olive oil,oz double cream,garlic clove,handful fresh chive,ground black pepper,pasta bow,tbsp olive oil,butter,½ head broccoli,splash water,boil,oil,fry,salt,slice,serve,brown,stuff,season
348,Bacon-wrapped chicken livers with mushroom salad,30,,chicken liver,rasher smoky bacon,tbsp vegetable oil,ground black pepper,tbsp olive oil,â˝ onion,garlic clove,oz mushroom,fresh parsley leaf,,,,,,garnish,warm,oil,fry,salt,serve,roast,season,heat
349,Bacon-wrapped chicken with cheese and potato tower,30,,½ chicken breast,wensleydale cheese,streaky bacon,tbsp olive oil,½ potato,wensleydale cheese,ground black pepper,,,,,,,,layer,juice,grease,fry,oil,salt,bake,serve,stuff
350,Bagels,150,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/bagels_47163_16x9.jpg,strong bread flour,tsp salt,sachet fast-acting yeast,tbsp clear honey,tbsp vegetable oil,black treacle molasses,fine polenta,free-range egg,sesame seed,,,,,,mix,bake,measure,chunk,heat,cool,top,boil,roll
351,Bacon-wrapped pigeon stuffed with orange zest with roasted tomatoes and citrus salad,30,,pigeon breast,orange,chopped fresh rosemary,streaky bacon rasher,tbsp olive oil,vine cherry tomato,tbsp olive oil,ground black pepper,orange,â˝ lemon,chopped fresh chervil,fresh basil leaf,,,mix,roll,drizzle,oil,fry,salt,slice,combine,serve
352,Baguettes,150,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/baguettes_11543_16x9.jpg,strong white flour,salt,action dry yeast,oz olive oil,oz water,,,,,,,,,,dough,mix,steam,roll,oil,salt,bake,fold,roast
353,Irish cream and chocolate cheesecake,130,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/baileysandchocolatec_72293_16x9.jpg,butter,digestive biscuit,cream cheese,irish cream liqueur,ice sugar,double cream,grate chocolate,double cream,cocoa powder,,,,,,melt,mix,beat,prepare,whip,grate,serve,fold,top
354,Bagna cauda,40,,virgin olive oil,clove garlic,preserve olive oil,unsalted butter,raw vegetable fennel,,,,,,,,,,melt,warm,dip,oil,serve,heat,whisk,pour,stir
355,Bagna cauda,30,,tbsp olive oil,¼ red onion,fillet olive oil,tin flageolet bean,vegetable stock,tbsp double cream,crusty white bread,chopped fresh parsley,,,,,,,roll,blend,bread,oil,fry,sprinkle,drain,serve,brown
356,Baked Alaska,150,,double cream,milk,soft fresh ),free-range egg yolk,caster sugar,free-range egg white,caster sugar,tbsp cherry jam,cake thick,,,,,,thicken,boil,chill,churn,bake,infuse,top,can,ice
357,Baked Alaska with hot chocolate sauce,60,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/baked_alaska_with_hot_20041_16x9.jpg,vanilla,dark chocolate,butter,caster sugar,free-range egg,self-raising flour,free-range egg white,caster sugar,cream tartar,oz double cream,dark chocolate,( optional ),,,bake,can,heat,cool,top,layer,boil,melt,beat
358,Baked Alaska with sautéed apples,60,,caster sugar,medium free-range egg,plain flour,butter,bramley apple,butter,tbsp caster sugar,caster sugar,free-range egg white,oz calvados,vanilla ice cream,unsalted butter,eat apple,tbsp brandy,fry,bake,can,heat,cool,top,layer,boil,melt
359,Baked almond cheesecake,120,,soften butter,crunchy amaretti biscuit,ricotta cheese,caster sugar,free-range egg,oz double cream,lemon,tbsp amaretto liqueur,,,,,,,mix,blend,bake,cool,top,roll,combine,turn,wedge
360,Baked Alaska with creamy chocolate sauce,30,,caster sugar,free-range egg white,ready-made sponge flan,oz armagnac,( soft-scoop ),plain chocolate,oz double cream,,,,,,,,layer,boil,melt,drizzle,thin,bake,serve,combine,top
361,Baked apples in a semolina soufflé,30,,unsalted butter,apple,caster sugar,unsalted butter,caster sugar,oz whole milk,vanilla extract,semolina,sultana,( optional ),free-range medium egg,lemon juice,ice sugar,,thicken,mix,bake,rise,cool,heat,top,boil,melt
362,Baked apples with Calvados sauce,30,,de reinettes apple,unsalted butter,tbsp caster sugar,caster sugar,unsalted butter,braeburn apple,apple juice,½ tsp arrowroot,tsp calvados,bread,ice sugar,pistachio nut,whole almond,flake almond,thicken,mix,bread,bake,heat,cool,skin,toast,boil
363,Baked apple Alaska,30,,red wine,brown sugar,vanilla pod,â˝ apple,free-range egg white,caster sugar,tbsp honey,,,,,,,,beat,drizzle,simmer,slice,serve,brown,reduce,heat,whisk
364,Baked apples,150,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/bakedapples_84332_16x9.jpg,dry exotic fruit,oz brandy,light brown sugar,â˝ tsp allspice,butter,eat apple,greek yoghurt,,,,,,,,core,bake,dry,soak,serve,press,,,
365,Baked apple with raisins and custard,40,,soft brown sugar,butter,raisin,honey,½ apple,oz milk,oz double cream,caster sugar,tsp vanilla essence,free-range egg yolk,,,,,mix,warm,serve,brown,stuff,heat,pour,cream,stir
366,Baked apple with calvados sabayon,30,,small bramley apple,butter,soft brown sugar,tsp calvados,free-range egg,tbsp caster sugar,tsp calvados,tsp hot water,,,,,,,boil,melt,fry,thin,bake,slice,serve,brown,can
367,Baked apple with cinnamon butterscotch sauce,30,,unsalted butter,½ apple,tbsp cinnamon,tbsp brown sugar,tbsp brown sugar,½ tbsp cinnamon,unsalted butter,oz double cream,,,,,,,thicken,pour,melt,warm,fry,bake,serve,turn,heat
368,Baked apple with custard,30,,raisin,butter,tbsp clear honey,orange,apple,tbsp milk,tbsp double cream,tbsp caster sugar,free-range egg,free-range egg yolk,,,,,thicken,boil,mix,microwave,core,bake,serve,stuff,heat
369,Baked aubergine rolls filled with mozzarella,30,,large aubergine,tbsp plain flour,egg,olive oil fry,hard cheese ),fresh basil leaf,mozzarella cheese,salt,ground black pepper,virgin olive oil,garlic clove,small onion,½ celery stalk,tin plum tomato,roll,sweat,oil,simmer,salt,dip,fry,drain,slice
370,Baked avocado and mustard chicken,30,,skinless chicken breast,ground black pepper,tbsp olive oil,â˝ avocado,tbsp olive oil,sugar,tsp dijon mustard,white wine vinegar,ground black pepper,cherry tomato,,,,,brush,oil,fry,salt,peel,bake,slice,serve,top
371,Baked banana with lime,30,,banana,tbsp brown sugar,tbsp butter,â˝ lime,lime wedge,,,,,,,,,,garnish,juice,serve,heat,wedge,pour,,,
372,Baked blueberry cheesecake with blueberry compôte,150,,butter,digestive biscuit,vanilla pod,lemon,caster sugar,cornflour,full-fat cream cheese,oz double cream,large free-range egg,blueberry,blueberry,caster sugar,,,melt,mix,juice,grease,bake,serve,slice,whisk,roast
373,Baked bass with creamed leeks,30,,sea bass fillet,ground black pepper,tbsp olive oil,½ lemon,butter,leek,oz double cream,tbsp olive oil,garlic clove,wild mushroom,vine tomato,½ lemon,,,juice,drizzle,oil,fry,salt,simmer,bake,serve,roast
374,Baked blue cheese fondue,30,,cheese wooden box,clove garlic,fresh thyme leaf,tbsp honey,slice bread,tbsp olive oil,,,,,,,,,melt,bread,drizzle,oil,dip,bake,slice,serve,char
375,Baked Bramley apple with spiced custard and apple granita,150,,juice juicer ),sugar,bramley apple,butter,demerara sugar,raisin,oz double cream,soft brown sugar,ground mixed spice,lemon,orange,oz milk,oz cream,fir pine needle,mix,bake,heat,cool,top,strain,freeze,boil,simmer
376,Baked bean soup,30,,borlotti bean,celery stalk,spring onion,cooked bacon,garlic clove,dry chilli flake,tomato purée,stock bouillon powder,oz water,,,,,,thicken,bread,serve,combine,pour,skin,stir,,
377,"Baked brown-sugar cheesecake, pear sorbet and tomato caramel",120,,caster sugar,liquid glucose,pear purée,dark brown sugar,cream cheese,oz double cream,tbsp plain flour,egg yolk,vanilla pod,milk chocolate,pistachio,hazelnut,flake almond,caster sugar,mix,poach,blend,bake,refrigerate,heat,cool,top,skin
378,Baked camembert with garlic bread,30,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/bakedcamembertwithga_86995_16x9.jpg,whole camembert,garlic clove,sprig fresh thyme,tsp olive oil,small ciabatta loaf,tbsp olive oil,garlic clove,,,,,,,,melt,bread,warm,drizzle,oil,dip,bake,serve,cut
379,Baked celeriac with smoked trout and caper salsa,30,,medium celeriac,tbsp olive oil,thyme sprig,crème fraîche,fresh horseradish,smoke trout salmon,tsp lemon juice,salt black pepper,( regular caper,finely chopped parsley,finely chopped tarragon,tbsp olive oil,,,layer,mix,juice,drizzle,oil,salt,grind,bake,serve
380,Baked burrito,60,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/baked_burrito_04690_16x9.jpg,small onion,oil,skinless,tsp mexican season,tomato,tin sweetcorn,grate cheese,soft tortilla wrap,tbsp natural yoghurt,,,,,,thicken,dip,fry,bake,heat,top,skin,roll,cut
381,Baked chicken liver pâté,30,,chicken liver,oz double cream,whole free-range egg,tsp port,ground black pepper,tsp fresh chive,slice ciabatta,,,,,,,,grease,serve,roast,turn,sprinkle,toast,,,
382,Baked celeriac and crispy duck egg salad,30,,free-range duck egg,flour,free-range egg,breadcrumb,medium celeriac,ground black pepper,tbsp vegetable oil,butter,sprig thyme,tbsp mayonnaise,â˝ lemon,virgin olive oil,tsp grate truffle,handful celery leaf,mix,bread,fry,bake,heat,cool,top,boil,roll
383,Baked cheese,30,,cheese box ),sprig fresh rosemary,slice bread,tbsp olive oil,,,,,,,,,,,melt,brush,bread,oil,bake,serve,heat,toast,
384,Baked cheesecake with blueberries,30,,butter,digestive biscuit,blueberry,cream cheese,caster sugar,tsp vanilla extract,free-range egg,ice sugar,,,,,,,melt,mix,roll,chill,beat,bake,sprinkle,serve,slice
385,"Baked chilli feta with tomatoes, olives and a poached egg",40,,feta cheese,handful fresh mint,â˝ tomato,dry chilli flake,squeeze lemon juice,tbsp olive oil,ground black pepper,tbsp kalamata olive,handful fresh parsley,free-range egg,,,,,juice,drizzle,oil,salt,bake,serve,fold,season,top
386,Baked chocolate and orange mousse with chocolate sauce and orange cream,30,,dark chocolate,oz unsalted butter,free-range egg,self-raising flour,tbsp milk,½ orange,dark chocolate,tbsp caster sugar,boil water,oz double cream,½ orange,cocoa powder dust,fresh mint leaf,,boil,melt,garnish,grease,blend,simmer,whip,bake,serve
387,Baked chocolate and orange cheesecake,60,,butter,ready-made sponge flan,tbsp orange liqueur,caster sugar,orange,tbsp cornflour,soft cream cheese,medium free-range egg,vanilla pod,oz double cream,dark chocolate piece,white chocolate,dark chocolate,,mix,bake,can,heat,cool,top,melt,beat,simmer
388,Baked chocolate mousse with candied fennel,60,,½ fennel bulb,dark bitter chocolate,unsalted butter,free-range egg,caster sugar,fennel bulb,caster sugar,oz water,ice sugar,cocoa powder,double cream,sprig fresh mint,,,mix,bake,heat,cool,boil,melt,simmer,whip,slice
389,Baked chocolate mousse with passion fruit,30,,dark chocolate,unsalted butter,caster sugar,egg,little extra butter,mascarpone,oz double cream,tbsp ice sugar,( pulp ),ice sugar,cocoa powder,sprig mint,,,melt,beat,simmer,bake,serve,fold,ice,cool,whisk
390,Baked courgette with parmesan,30,,vegetable oil,medium courgette,rasher cooked bacon,tbsp plain yoghurt,feta,tbsp grate parmesan,ground black pepper,free-range egg,tomato,,,,,,brush,mix,grease,oil,bake,grate,serve,combine,slice
391,Baked chocolate-stuffed banana with vanilla cream,30,,flaky chocolate bar,banana,tsp vanilla extract,oz double cream,,,,,,,,,,,melt,whip,bake,serve,fold,cream,,,
392,Baked cumin sweet potatoes with yoghurt and mint,30,,sweet potato,tsp ground cumin,tbsp greek-style yoghurt,fresh mint leaf,ground black pepper,,,,,,,,,,boil,mix,drizzle,simmer,salt,drain,serve,roast,reduce
393,Baked cinnamon oranges and Grand Marnier,30,,large orange,tbsp brown sugar,little powder spice,grand marnier,,,,,,,,,,,warm,peel,bake,slice,serve,cut,top,sprinkle,
394,Baked courgette fritters with marinara sauce,60,,virgin olive oil,large garlic bulb,low-fat cream cheese,low-fat greek yoghurt,½ bunch chive,tbsp olive oil,large red onion,garlic clove,chopped tomato,sprig thyme,( optional ),ground black pepper,fresh basil leaf,medium free-range egg,thicken,dip,heat,cool,top,skin,layer,beat,roll
395,Baked crumble nectarines,30,,tbsp plain flour,butter,tsp demerara sugar,tbsp roll oat,ripe nectarine,tbsp orange juice,plain yoghurt,,,,,,,,juice,bake,serve,cut,rub,top,pour,stir,
396,Baked egg custard with candied fennel,30,,free-range egg yolk,caster sugar,oz milk,oz double cream,vanilla pod,â˝ bulb fennel,caster sugar,tbsp lemon juice,,,,,,,boil,juice,slice,serve,top,heat,whisk,pour,cream
397,Baked eggs,30,,egg,slice smoke salmon,,sautăšed,chopped parsley chive,ground black pepper,,,,,,,,,bread,salt,bake,serve,season,smoke,top,,
398,Baked feta with olive tapenade and baba ganoush,30,,feta cheese,sprig fresh thyme,tbsp olive oil,tsp chilli flake,pit black olive,garlic clove,tbsp fresh parsley,tbsp olive oil,½ aubergine,tbsp olive oil,oz greek yoghurt,garlic clove,ground black pepper,,blend,drizzle,oil,peel,bake,serve,season,sprinkle,skin
399,Baked eggs,40,http://ichef.bbci.co.uk/food/ic/food_16x9_608/recipes/bakedeggs_8634_16x9.jpg,butter,egg,handful grate cheese,salt pepper,ham mushroom cooked,,,,,,,,,,top,grate,salt,turn,,,,,
400,Baked feta,30,,feta cheese,tbsp olive oil,tsp dry oregano,ground black pepper,lemon,squeeze lemon juice,garlic clove,,,,,,,,drizzle,oil,bake,serve,sprinkle,,,,
401,Baked figs with Stilton,30,,fig,stilton cheese,balsamic vinegar,olive oil,mixed salad leaf,,,,,,,,,,drizzle,oil,press,serve,stuff,wedge,,,
402,Baked fig and chocolate mousse,30,,caster sugar,cocoa,tbsp cornflour,¼ milk,free-range egg white,oz double cream,fig,,,,,,,,chill,mix,serve,fold,heat,cool,cream,,
403,Baked fig and goats' cheese salad,40,,fresh,goat ' cheese,handful rocket leaf,tomato,â˝ lemon,ground black pepper,,,,,,,,,melt,mix,juice,salt,bake,serve,season,top,
404,Baked fish with green olive tapenade,40,,plaice fillet,dry white wine,butter grease,anchovy fillet,garlic clove,pit green olive,lemon,tbsp olive oil,,,ground black pepper,plum cherry tomato,tbsp olive oil,,juice,roll,blend,drizzle,oil,bake,serve,combine,roast
405,Baked garlic,30,,plump bulb garlic,olive oil,rock salt,warm rustic bread,,,,,,,,,,,bread,warm,drizzle,oil,salt,sprinkle,,,
406,"Baked ginger parkin with rhubarb, vanilla ice cream and hot spiced syrup",30,,butter,oz self-raising flour,salt,tbsp ground ginger,tsp ground nutmeg,tsp mixed spice,oatflakes,golden syrup,black treacle,unsalted butter,soft brown sugar,free range egg,tsp full-fat milk,golden syrup,mix,bake,measure,heat,top,boil,melt,simmer,turn
